model,lambda,mu,servers,rho,stable,L,Lq,W,Wq,P0,Pwait,N,M,R
M/M/S,1.0,5.0,8,0.025,True,0.20000000000136708,1.367071793749486e-12,0.20000000000136708,1.367071793749486e-12,0.8187307530778556,5.3315799956229947e-11,100,100,5
M/M/1,1.0,10.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.1111111111111111,0.011111111111111112,0.9,0.1,100,100,10
M/M/S,1.0,10.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.1111111111111111,0.011111111111111112,0.9,0.1,100,100,10
M/M/S,1.0,10.0,2,0.05,True,0.10025062656641605,0.0002506265664160402,0.10025062656641605,0.0002506265664160402,0.9047619047619047,0.004761904761904763,100,100,10
M/M/S,1.0,10.0,4,0.025,True,0.10000009914939732,9.914939732038842e-08,0.10000009914939732,9.914939732038842e-08,0.9048373999458644,3.866826495495148e-06,100,100,10
M/M/S,1.0,10.0,8,0.0125,True,0.10000000000000288,2.8766421044270726e-15,0.10000000000000288,2.8766421044270726e-15,0.9048374180359593,2.2725472624973873e-13,100,100,10
M/M/1,0.5,1.0,1,0.5,True,1.0,0.5,2.0,1.0,0.5,0.5,100,200,1
M/M/S,0.5,1.0,1,0.5,True,1.0,0.5,2.0,1.0,0.5,0.5,100,200,1
M/M/S,0.5,1.0,2,0.25,True,0.5333333333333333,0.03333333333333333,1.0666666666666667,0.06666666666666667,0.6,0.09999999999999999,100,200,1
M/M/S,0.5,1.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,1.000515729757607,0.0005157297576070139,0.6064981949458484,0.0018050541516245488,100,200,1
M/M/S,0.5,1.0,8,0.0625,True,0.5000000041785897,4.17858975019513e-09,1.0000000083571794,8.35717950039026e-09,0.6065306594203235,6.267884625292695e-08,100,200,1
M/M/1,0.5,5.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.2222222222222222,0.022222222222222223,0.9,0.1,100,200,5
M/M/S,0.5,5.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.2222222222222222,0.022222222222222223,0.9,0.1,100,200,5
