variant,Q1,Q2,L1,L2,L3,T,N,M,trials,arrival_dist,n_completed,throughput,turnaround_mean,waiting_mean,response_mean,turnaround_p95,waiting_p95,makespan,context_switches
B,2,8,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169620.0972047436,169114.47280474362,2409.3281447435975,251594.80857163857,250658.0547260223,252812.41298856243,6590.07
B,2,8,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170042.9842447436,169537.35984474362,2409.3281447435975,251866.01278478027,250919.03581008196,252812.41298856243,9819.81
B,2,8,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169967.42470474358,169461.8003047436,1169.3281447435975,251865.49352766256,250919.5120479608,252812.41298856243,9873.75
B,2,16,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,168934.0009447436,168428.3765447436,2405.5501447435977,251571.60417109533,250634.832504066,252812.41298856243,6708.44
B,2,8,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170184.5543647436,169678.92996474358,1169.3281447435975,252095.32357386444,251146.66527600866,252812.41298856243,26296.46
B,2,8,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,88200.1068047436,87694.4824047436,2409.3281447435975,228703.05022165028,227754.22022165026,252812.41298856243,6590.62
B,2,16,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169951.1438247436,169445.51942474357,2409.3281447435975,251839.41356260885,250897.09691819747,252812.41298856243,9759.78
B,2,16,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,100645.0450447436,100139.42064474359,2405.5501447435977,231238.69290267228,230390.06269215565,252812.41298856243,11442.37
B,2,8,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,96703.0398047436,96197.41540474359,2409.3281447435975,230830.466793898,229984.05568772726,252812.41298856243,11517.34
B,2,16,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,92508.60850474359,92002.9841047436,2405.5501447435977,229117.1567886653,228170.82678866532,252812.41298856243,6709.14
B,2,16,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169694.4171047436,169188.7927047436,1167.6901447435976,251845.8367484426,250903.84968667914,252812.41298856243,9864.05
B,2,8,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,88178.1475247436,87672.52312474359,1169.3281447435975,228702.4874039588,227754.0774039588,252812.41298856243,9874.84
B,2,8,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,87800.00768474358,87294.3832847436,2409.3281447435975,228658.88032519005,227710.01032519006,252812.41298856243,9820.65
B,2,8,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,96619.36120474359,96113.73680474359,1169.3281447435975,230862.9394941439,230020.02083594276,252812.41298856243,18085.41
B,2,8,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,96271.27800474361,95765.6536047436,2409.3281447435975,230809.16891760723,229959.12627304826,252812.41298856243,18058.3
B,2,16,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170147.9155047436,169642.2911047436,1169.3281447435975,252068.52535954886,251121.26158096522,252812.41298856243,25956.76
B,2,32,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,32,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,32,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,32,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169662.09738474357,169156.4729847436,2406.7917447435975,251805.6749587892,250861.63561140854,252812.41298856243,9530.04
B,2,16,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,92189.8786847436,91684.2542847436,1167.6901447435976,229098.16811191797,228151.83811191798,252812.41298856243,9864.64
B,2,16,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,89599.01006474359,89093.38566474359,2409.3281447435975,228870.11428245355,227921.31428245353,252812.41298856243,9760.47
B,2,32,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,16,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,100348.6170247436,99842.9926247436,1167.6901447435976,231251.75235336518,230404.19904591914,252812.41298856243,17752.98
B,2,32,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,16,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,97931.5697647436,97425.9453647436,2409.3281447435975,230954.55038388714,230100.44593123038,252812.41298856243,17860.07
B,2,32,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,48,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,32,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170048.66170474357,169543.0373047436,1168.6725447435974,252015.46969422494,251068.69349229764,252812.41298856243,24667.5
B,2,48,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,48,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169997.2696047436,169491.6452047436,1184.3281447435975,251881.6071269737,250938.1082532605,252812.41298856243,9375.89
B,2,48,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169543.81572474362,169038.1913247436,2405.7295447435977,251769.25255020632,250828.96626946202,252812.41298856243,9520.45
B,2,32,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,95784.40608474359,95278.78168474359,2406.7917447435975,229557.81907897978,228610.7990789798,252812.41298856243,9530.64
B,2,48,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,32,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,103742.4415047436,103236.81710474359,2406.7917447435975,231675.2704079381,230820.5430278878,252812.41298856243,17099.52
B,2,48,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,48,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170023.6495047436,169518.0251047436,809.3281447435974,251887.32517938744,250935.80109384566,252812.41298856243,9376.22
B,2,48,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170039.5166047436,169533.89220474358,1168.3089447435973,252072.33245071542,251122.62984023697,252812.41298856243,24613.08
B,2,48,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,96059.9528647436,95554.3284647436,2405.7295447435977,229714.96520856227,228766.94520856228,252812.41298856243,9521.39
B,6,8,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169631.1294247436,169125.50502474362,5804.000804743597,251618.73923271158,250690.21342678825,252812.41298856243,6561.73
B,2,48,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,103977.5313847436,103471.90698474359,2405.7295447435977,231794.24487292412,230942.34580038127,252812.41298856243,17066.83
B,2,8,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,87869.51162474361,87363.8872247436,1169.3281447435975,228663.71286277863,227714.87286277863,252812.41298856243,26296.73
B,6,8,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170000.59328474358,169494.9688847436,4561.083484743597,251877.06671040773,250930.51218460526,252812.41298856243,9827.81
B,6,8,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,88688.3730847436,88182.74868474361,5804.000804743597,228774.91993407812,227826.19993407812,252812.41298856243,6562.13
B,2,8,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,96248.36064474359,95742.7362447436,1169.3281447435975,230752.62065518703,229894.94543830666,252812.41298856243,51010.1
B,6,8,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,97166.2791447436,96660.65474474359,5804.000804743597,230916.60667511492,230069.6549224535,252812.41298856243,11462.72
B,6,8,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169975.4677447436,169469.8433447436,3498.3943447435972,251897.52904075675,250951.13710561066,252812.41298856243,9876.15
B,2,16,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,89746.9017447436,89241.27734474359,1169.3281447435975,228873.1679345671,227924.39793456707,252812.41298856243,25959.62
B,6,8,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170167.2577647436,169661.63336474358,3425.4066847435975,252087.67302773296,251138.89169222803,252812.41298856243,26077.06
