cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,test,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,0,0.83,0.2,0.22,51.0,47604,7028,0,16652,6,0,64,0,2026-05-15T11:52:47,java-monitor,4,16,1,2000,0,0,784.664,32000,40781.78,260.173,44.958,157.251,231.001,725064.654,pc-asym-prod,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,1,0.79,0.17,0.23,50.0,47936,7708,0,16608,5,0,64,0,2026-05-15T11:52:48,java-monitor,4,16,1,2000,0,0,744.793,32000,42964.94,247.266,42.709,146.376,202.625,689277.343,pc-asym-prod,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,2,0.76,0.18,0.19,50.0,47820,7697,0,16558,5,0,64,0,2026-05-15T11:52:49,java-monitor,4,16,1,2000,0,0,712.673,32000,44901.39,234.601,41.125,138.542,191.876,657946.099,pc-asym-prod,2
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,0,1.33,0.04,1.51,116.0,1900,361,0,36109,2414,0,0,0,2026-05-15T11:52:50,c-pthreads-sem,4,16,1,2000,0,0,1331.956,32000,24024.82,755.643,193.625,3164.845,5521.147,36536.182,pc-asym-prod,0
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,1,1.59,0.05,1.88,122.0,1900,360,0,36560,622,0,0,0,2026-05-15T11:52:52,c-pthreads-sem,4,16,1,2000,0,0,1585.938,32000,20177.33,914.037,240.584,3549.43,5866.231,14021.928,pc-asym-prod,1
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 16 --K 1 --items 2000 --producer-delay-us 0 --consumer-delay-us 0,2,1.52,0.06,1.76,119.0,1900,360,0,36689,667,0,0,0,2026-05-15T11:52:53,c-pthreads-sem,4,16,1,2000,0,0,1522.047,32000,21024.32,881.523,231.126,3431.804,5746.147,17242.105,pc-asym-prod,2
