cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,test,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,0,0.56,0.12,0.16,51.0,44452,6016,0,11500,9,0,64,0,2026-05-15T11:52:54,java-monitor,4,1,16,5000,0,0,522.608,5000,9567.41,150.599,46.459,501.043,595.377,2072.508,pc-asym-cons,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,1,0.55,0.11,0.17,51.0,44496,6020,0,11492,7,0,64,0,2026-05-15T11:52:54,java-monitor,4,1,16,5000,0,0,520.269,5000,9610.41,150.759,47.667,587.71,697.169,1849.424,pc-asym-cons,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,2,0.61,0.12,0.19,52.0,44488,6044,0,11478,23,0,64,0,2026-05-15T11:52:55,java-monitor,4,1,16,5000,0,0,574.182,5000,8708.04,165.484,50.834,622.794,751.42,6648.107,pc-asym-cons,2
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,0,0.23,0.01,0.26,117.0,1516,239,0,5709,157,0,0,0,2026-05-15T11:52:55,c-pthreads-sem,4,1,16,5000,0,0,236.093,5000,21178.11,105.104,85.875,332.084,417.168,612.127,pc-asym-cons,0
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,1,0.19,0.01,0.22,123.0,1436,236,0,5594,492,0,0,0,2026-05-15T11:52:55,c-pthreads-sem,4,1,16,5000,0,0,194.499,5000,25707.02,81.103,57.25,291.167,397.751,605.669,pc-asym-cons,1
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 4 --M 1 --K 16 --items 5000 --producer-delay-us 0 --consumer-delay-us 0,2,0.25,0.01,0.29,118.0,1428,237,0,5812,8,0,0,0,2026-05-15T11:52:56,c-pthreads-sem,4,1,16,5000,0,0,256.56,5000,19488.64,110.133,88.459,338.167,430.46,601.21,pc-asym-cons,2
