cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,test,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 64 --M 4 --K 4 --items 100000 --producer-delay-us 0 --consumer-delay-us 0,0,1.41,0.43,0.4,59.0,67236,12123,0,29355,7,0,64,0,2026-05-15T11:52:57,java-monitor,64,4,4,100000,0,0,1347.626,400000,296818.23,114.132,84.25,210.292,346.334,381858.476,pc-long,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 64 --M 4 --K 4 --items 100000 --producer-delay-us 0 --consumer-delay-us 0,1,1.74,0.51,0.47,56.0,67788,12443,0,36461,12,0,64,0,2026-05-15T11:52:59,java-monitor,64,4,4,100000,0,0,1659.332,400000,241060.86,134.885,121.417,212.501,624.294,738218.362,pc-long,1
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 64 --M 4 --K 4 --items 100000 --producer-delay-us 0 --consumer-delay-us 0,0,0.94,0.31,1.88,232.0,10348,2504,0,42592,20161,0,0,0,2026-05-15T11:53:00,c-pthreads-sem,64,4,4,100000,0,0,922.212,400000,433739.78,78.336,52.042,205.709,395.668,18947.895,pc-long,0
/home/vboxuser/os-final-project/paper2-concurrency/pc/pthreads/producer_consumer --N 64 --M 4 --K 4 --items 100000 --producer-delay-us 0 --consumer-delay-us 0,1,1.03,0.28,1.93,214.0,10348,2501,0,41653,16455,0,0,0,2026-05-15T11:53:01,c-pthreads-sem,64,4,4,100000,0,0,1009.522,400000,396227.16,89.492,71.334,221.542,416.752,3301.386,pc-long,1
