cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.05,0.07,0.01,167.0,44560,6158,0,280,10,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,1,10000,0,0,15.298,10000,653660.91,1.538,0.5,1.75,2.708,1930.14,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.05,0.07,0.02,167.0,44496,6032,0,307,5,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,1,10000,0,0,15.834,10000,631555.75,1.389,0.625,1.916,3.542,1581.304,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.06,0.07,0.02,142.0,44368,6053,0,278,2,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,1,10000,0,0,16.845,10000,593658.05,1.687,0.417,1.958,3.959,1744.638,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.05,0.07,0.01,173.0,43664,5816,0,275,5,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,2,10000,0,0,18.172,10000,550290.35,2.1,0.916,3.708,5.167,1988.557,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.06,0.09,0.01,193.0,44496,6087,0,313,6,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,2,10000,0,0,21.259,10000,470389.94,2.516,0.667,3.833,6.959,1771.139,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.05,0.08,0.02,180.0,43600,5801,0,253,5,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,2,10000,0,0,19.299,10000,518173.19,2.532,1.167,3.792,5.126,1518.512,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.06,0.1,0.01,182.0,44176,6026,0,262,19,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,4,10000,0,0,21.123,10000,473416.73,2.893,2.041,3.292,4.792,1851.014,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.06,0.1,0.02,206.0,43664,5795,0,290,16,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,4,10000,0,0,21.416,10000,466936.96,2.989,2.0,3.166,5.25,1861.681,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.05,0.1,0.01,201.0,44948,6099,0,296,18,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,4,10000,0,0,20.493,10000,487976.65,2.7,1.542,3.167,4.416,2075.141,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.06,0.11,0.01,217.0,44176,5935,0,286,37,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,8,10000,0,0,22.175,10000,450957.33,3.123,1.917,3.25,4.416,2391.061,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.06,0.12,0.02,221.0,44688,6027,0,269,37,0,64,0,2026-05-14T10:21:45,java-lockfree,1,1,8,10000,0,0,23.952,10000,417502.77,2.679,1.459,2.916,4.625,1894.723,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.06,0.13,0.02,232.0,44176,5932,0,296,43,0,64,0,2026-05-14T10:21:46,java-lockfree,1,1,8,10000,0,0,25.713,10000,388913.49,2.621,1.25,2.25,3.625,2469.728,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.06,0.09,0.02,185.0,45328,6301,0,302,7,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,1,10000,0,0,18.856,20000,1060643.29,1.295,0.458,1.417,3.958,2447.977,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.06,0.09,0.01,178.0,44240,5985,0,264,8,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,1,10000,0,0,20.148,20000,992661.01,1.412,0.666,1.917,4.209,2125.725,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.06,0.11,0.02,194.0,45392,6269,0,290,8,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,1,10000,0,0,22.824,20000,876281.38,1.647,0.417,1.667,3.792,3777.071,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.07,0.12,0.02,202.0,45580,6375,0,311,8,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,2,10000,0,0,28.438,20000,703294.3,2.224,0.584,4.5,7.917,3828.238,0
