cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,seed,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.09,0.68,0.72,27.0,47316,7460,0,9134,67,0,64,0,2026-05-14T10:27:51,java-monitor,50,5.0,10,50,10,50,5043.843,2933,"[58, 58, 61, 61, 58, 59, 62, 57, 60, 62, 54, 59, 61, 61, 56, 61, 60, 58, 59, 62, 55, 59, 58, 60, 59, 59, 58, 59, 57, 60, 58, 58, 59, 61, 56, 58, 57, 60, 58, 59, 56, 63, 57, 56, 59, 59, 59, 56, 55, 58]",21460.711,16651.853,60280.649,99433.239,156137.816,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.11,0.67,0.57,24.0,47084,7364,0,9234,66,0,64,0,2026-05-14T10:27:56,java-monitor,50,5.0,10,50,10,50,5049.895,2963,"[58, 60, 64, 57, 58, 60, 61, 62, 63, 59, 57, 55, 62, 60, 58, 60, 62, 59, 63, 61, 60, 55, 58, 60, 58, 59, 59, 60, 59, 60, 58, 58, 63, 58, 56, 57, 60, 57, 60, 57, 61, 61, 58, 58, 60, 61, 61, 58, 55, 59]",21254.969,17468.11,59603.31,86571.086,129354.166,False,2,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.09,0.48,0.4,17.0,47280,7421,0,9294,49,0,64,0,2026-05-14T10:28:01,java-monitor,50,5.0,10,50,10,50,5037.264,3003,"[63, 63, 59, 59, 63, 60, 62, 59, 62, 57, 56, 63, 62, 56, 63, 62, 60, 61, 58, 57, 60, 58, 63, 60, 62, 59, 60, 59, 60, 58, 57, 59, 64, 59, 58, 61, 60, 59, 59, 62, 62, 58, 59, 62, 59, 62, 59, 58, 61, 61]",20599.104,16789.896,57486.125,87593.471,181775.873,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.11,0.53,0.41,18.0,47264,7414,0,9252,35,0,64,0,2026-05-14T10:28:06,java-monitor,50,5.0,10,50,10,50,5035.847,2981,"[60, 63, 57, 60, 62, 62, 59, 62, 63, 53, 59, 61, 59, 57, 57, 60, 61, 56, 63, 57, 60, 58, 59, 63, 58, 61, 59, 59, 63, 60, 58, 60, 57, 56, 60, 56, 60, 60, 59, 60, 61, 61, 58, 61, 60, 64, 61, 58, 61, 59]",21148.994,17127.107,57619.126,94605.157,174366.935,False,3,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.08,0.21,0.08,6.0,43156,5685,0,1353,20,8,64,0,2026-05-14T10:28:11,java-semaphore,5,5.0,10,50,10,50,5022.683,265,"[52, 52, 55, 55, 51]",30536.836,24945.843,96061.045,129420.586,139167.171,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.09,0.2,0.07,5.0,44332,6006,0,1239,21,0,64,0,2026-05-14T10:28:16,java-semaphore,5,5.0,10,50,10,50,5023.458,232,"[45, 45, 48, 48, 46]",43258.644,29070.42,120288.382,147816.497,151151.443,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.13,0.24,0.11,7.0,43024,5638,0,1299,18,0,64,0,2026-05-14T10:28:21,java-semaphore,5,5.0,10,50,10,50,5015.788,250,"[49, 52, 51, 49, 49]",36720.1,24812.508,119674.002,139310.506,142715.536,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.09,0.24,0.09,6.0,43280,5707,0,1269,9,0,64,0,2026-05-14T10:28:26,java-semaphore,5,5.0,10,50,10,50,5014.272,244,"[47, 51, 50, 47, 49]",39952.11,32376.95,112464.731,130873.351,134576.549,False,2,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.09,0.23,0.14,7.0,44432,5991,0,1280,16,0,64,0,2026-05-14T10:28:31,java-semaphore,5,5.0,10,50,10,50,5017.955,252,"[51, 53, 48, 49, 51]",35036.395,26248.646,101598.47,135889.436,149780.933,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.13,0.29,0.18,9.0,44372,6000,0,1267,15,0,64,0,2026-05-14T10:28:37,java-semaphore,5,5.0,10,50,10,50,5016.913,242,"[49, 49, 47, 47, 50]",40718.441,25651.849,118832.039,140695.271,156318.241,False,3,1
